id	period_month	period_year	division_code	gang_code	gang_description	total_employees	total_hk	total_hari_kerja	total_cuti_tahunan	total_cuti_sakit	total_cuti_minggu	total_cuti_nasional	total_upah_dasar	total_upah_pokok	total_gaji_pokok	total_beras	total_jabatan	total_masa_kerja	total_lembur	total_tunjangan	total_premi_brondol	total_premi_prunning	total_premi	total_potongan	total_pph21	total_bpjs_pekerja	total_bpjs_majikan	total_spsi	total_upah_kotor	total_upah_bersih	created_at	updated_at	source_endpoint	dynamic_premi_data	total_koreksi	informasi_tambahan	total_ffb_weight	total_weight_tbs
1318	11	2025	DME	E2T	TRANSPORT AIK RAYA	6	150	121	0	4	25	0	775320.00	15635620.00	19383000.00	580500.00	0.00	180500.00	4851332.00	5989832.00	0.00	0.00	5667720.00	1155761.00	198157.00	468802.00	1406406.00	20000.00	31040552.00	29884791.00	2026-01-05 15:58:27.433	2026-01-05 15:58:27.433	raw-tree	[{"header": "ANGKUT", "total": 5667720.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1319	11	2025	DME	E3H	HARVESTING AIK KANDIS	31	873	672	23	27	151	0	4005820.00	86835840.00	112809060.00	3928900.00	0.00	303500.00	0.00	4421900.00	14371000.00	18337150.00	44593521.00	5800613.00	857489.00	2409562.00	7228686.00	124000.00	179767063.00	173966450.00	2026-01-05 15:58:27.570	2026-01-05 15:58:27.570	raw-tree	[{"header": "BRONDOL", "total": 14371000.0}, {"header": "INSENTIF_PANEN", "total": 9000000.0}, {"header": "KINERJA", "total": 8010000.0}, {"header": "KOREKSI", "total": 197284.0}, {"header": "TBS", "total": 13015237.0}]	197284.00	{"premi_prunning": 18337150.0, "premi_insentif_panen": 0.0, "koreksi": 197284.0}	2590.840	NULL
1320	11	2025	DME	E3M	MAINTENANCE AIK KANDIS	34	983	751	27	40	165	0	4393480.00	97044220.00	127023260.00	3194250.00	0.00	1556000.00	2487290.00	7384040.00	0.00	0.00	0.00	5499172.00	32756.00	2667208.00	8001624.00	132000.00	134407300.00	128908128.00	2026-01-05 15:58:27.677	2026-01-05 15:58:27.677	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1321	11	2025	DME	E3P	PERCOBAAN AIK KANDIS	2	37	31	0	0	6	0	258440.00	4005820.00	4781140.00	0.00	0.00	0.00	0.00	0.00	82250.00	0.00	95938.00	318128.00	0.00	155064.00	465192.00	8000.00	4877078.00	4558950.00	2026-01-05 15:58:27.803	2026-01-05 15:58:27.803	raw-tree	[{"header": "BRONDOL", "total": 82250.0}, {"header": "TBS", "total": 13688.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1322	11	2025	DME	E3T	TRANSPORT AIK KANDIS	6	177	138	7	2	30	0	775320.00	17832360.00	22871940.00	697250.00	0.00	112000.00	3282772.00	4508522.00	0.00	0.00	3472369.00	988618.00	29754.00	467432.00	1402296.00	24000.00	30852831.00	29864213.00	2026-01-05 15:58:27.897	2026-01-05 15:58:27.897	raw-tree	[{"header": "ANGKUT", "total": 3472369.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1323	11	2025	ARA	F1	PERCOBAAN HARVESTING BUKIT PANJANG	1	30	25	0	0	5	0	129220.00	3230500.00	3876600.00	0.00	0.00	0.00	0.00	0.00	421750.00	680900.00	817452.00	155064.00	0.00	77532.00	232596.00	0.00	5374952.00	5219888.00	2026-01-05 15:58:35.277	2026-01-05 15:58:35.277	raw-tree	[{"header": "BRONDOL", "total": 421750.0}, {"header": "TBS", "total": 395702.0}]	0.00	{"premi_prunning": 680900.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1470.630	NULL
1324	11	2025	ARA	F1H	HARVESTING BUKIT PANJANG	43	912	731	15	11	155	0	5591019.99	95520986.50	119122039.80	3843000.00	0.00	645500.00	67224.00	4762224.00	10389750.00	14362150.00	27670857.00	7102524.00	275480.00	3367522.00	10102565.99	92000.00	160624908.80	153522384.80	2026-01-05 15:58:35.423	2026-01-05 15:58:35.423	raw-tree	[{"header": "BRONDOL", "total": 10389750.0}, {"header": "INSENTIF_PANEN", "total": 450000.0}, {"header": "KINERJA", "total": 4410000.0}, {"header": "KOREKSI", "total": 2646181.0}, {"header": "TBS", "total": 9774926.0}]	2646181.00	{"premi_prunning": 14362150.0, "premi_insentif_panen": 0.0, "koreksi": 2646181.0}	1470.630	NULL
1325	11	2025	ARA	F1M	MAINTENANCE BUKIT PANJANG	30	772	604	7	31	130	0	3876600.00	78048880.00	99757840.00	2561000.00	0.00	1269000.00	3383608.00	7297608.00	0.00	0.00	54053.00	4822425.00	15745.00	2351340.00	7054020.00	104000.00	107109501.00	102287076.00	2026-01-05 15:58:35.577	2026-01-05 15:58:35.577	raw-tree	[{"header": "ANGKUT", "total": 54053.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1470.630	NULL
1326	11	2025	ARA	F1T	TRANSPORT BUKIT PANJANG	5	150	122	2	1	25	0	646100.00	15764840.00	19383000.00	652500.00	0.00	203000.00	6565544.00	7776044.00	0.00	0.00	4155615.00	1016910.00	213470.00	391720.00	1175160.00	20000.00	31314659.00	30297749.00	2026-01-05 15:58:35.790	2026-01-05 15:58:35.790	raw-tree	[{"header": "ANGKUT", "total": 4155615.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1470.630	NULL
1327	11	2025	ARA	F2H	HARVESTING PADANG PANJANG	40	995	738	52	35	170	0	5153026.66	95364360.00	128573900.00	4221400.00	0.00	268000.00	0.00	4692400.00	6585250.00	16444450.00	34330409.00	6722838.00	488486.00	3097176.00	9291528.00	40000.00	182992081.00	176269243.00	2026-01-05 15:58:35.943	2026-01-05 15:58:35.943	raw-tree	[{"header": "BRONDOL", "total": 6585250.0}, {"header": "INSENTIF_PANEN", "total": 4000000.0}, {"header": "KINERJA", "total": 4535000.0}, {"header": "KOREKSI", "total": 524539.0}, {"header": "TBS", "total": 18685620.0}]	524539.00	{"premi_prunning": 16444450.0, "premi_insentif_panen": 0.0, "koreksi": 524539.0}	1470.630	NULL
